SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
INFRATEL,EQ,336.05,339.9,335.55,337.45,337.5,335.45,3468729,1171091256.25,11-APR-2018,19240,INE121J01017
INFY,EQ,1118,1131.5,1116.5,1124.25,1124.5,1113.4,4512787,5075891572.85,11-APR-2018,102586,INE009A01021
IOC,EQ,177,177.5,165.65,167.35,167.25,179.3,28352223,4782644592.65,11-APR-2018,180715,INE242A01010
IRB,EQ,257.05,282.4,253.7,280.65,279.7,254.95,15573017,4276251717.55,11-APR-2018,121291,INE821I01014
ITC,EQ,266.9,267.55,263.4,265.15,265.3,266.7,5232228,1386296172.25,11-APR-2018,57667,INE154A01025
IBULHSGFIN,EQ,1321.9,1321.9,1300,1315.35,1318.95,1312.3,1044533,1371974874.55,12-APR-2018,30953,INE148I01020
ICICIBANK,EQ,285.3,289.9,283.55,286.75,287,284.55,22954325,6596551068.35,12-APR-2018,104245,INE090A01021
ICICIPRULI,EQ,397.6,402.9,394,395.7,395.5,399.9,352607,139827902.4,12-APR-2018,8380,INE726G01019
IDBI,EQ,70.5,72,69.85,71.35,71.1,72.1,23757659,1688020137.8,12-APR-2018,45519,INE008A01015
IDEA,EQ,74,74.2,72.1,73.15,73.5,73.95,8107585,591987544.9,12-APR-2018,30538,INE669E01016
IDFC,EQ,52.75,52.75,52.05,52.45,52.5,52.75,2202464,115136329.45,12-APR-2018,5613,INE043D01016
IDFCBANK,EQ,49.3,49.3,48.65,48.9,48.9,49.4,3788537,185536946.5,12-APR-2018,11378,INE092T01019
IGL,EQ,295.2,295.75,287.65,289.85,290,294.7,2896893,840007867.85,12-APR-2018,38387,INE203G01027
INDIACEM,EQ,148,149.7,145.4,146.05,146,148.55,2193798,322545950.3,12-APR-2018,15973,INE383A01012
INDIANB,EQ,317.5,321.75,315,316.15,315.05,319.1,782433,248910521.95,12-APR-2018,9042,INE562A01011
INDIGO,EQ,1470,1507,1461.6,1493.4,1489,1482.9,1014491,1514203205.25,12-APR-2018,39526,INE646L01027
INDUSINDBK,EQ,1852,1864.5,1846.25,1857.8,1851.1,1855.75,403510,749258143,12-APR-2018,24762,INE095A01012
INFIBEAM,EQ,170.6,173.6,169.25,170.6,171,171.25,3378207,578532591.2,12-APR-2018,48643,INE483S01020
INFRATEL,EQ,339.2,341.55,335.95,340.7,341,337.45,2136706,723088692.8,12-APR-2018,32375,INE121J01017
INFY,EQ,1129.45,1172.75,1125,1162.6,1164.05,1124.25,8522183,9866189146.65,12-APR-2018,216130,INE009A01021
IOC,EQ,163,170.4,159,168.25,167.9,167.35,28397376,4721523764.95,12-APR-2018,156678,INE242A01010
IRB,EQ,279.7,280.45,270.65,272.8,271.95,280.65,7491341,2062519439.1,12-APR-2018,66002,INE821I01014
ITC,EQ,265.1,265.15,261.4,261.95,262.15,265.15,6125006,1608254077.75,12-APR-2018,61995,INE154A01025
