"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","8700","1662.3","1665.45","1662.3","1665.45","1665.45","1665.45","2","15.55","2.5","38025","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","8750","0","0","0","1307.2","0","1660.9","0","0","0","0","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","8800","1557.65","1571.05","1557.65","1569.05","1562.3","1569.05","41","318.81","48.21","127125","-150","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","8850","0","0","0","1210.8","0","1561.4","0","0","0","0","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","8900","1468","1475.05","1468","1475.05","1475.05","1475.05","6","46.68","6.63","48000","-150","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","8950","0","0","0","1115.45","0","1461.95","0","0","0","0","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","9000","1361.7","1388.9","1357.8","1372","1375","1372","1077","8379.76","1110.01","904125","42525","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11450","0","0","0","1.25","1.25","0.2","0","0","0","75","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11500","0.7","0.7","0.6","0.7","0.6","0.7","2730","23547.63","1.38","701025","12150","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11550","0","0","0","0.8","0.8","0.1","0","0","0","0","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11600","0.55","0.75","0.55","0.6","0.55","0.6","2366","20585.41","1.21","22800","16575","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11650","0","0","0","0.75","0.75","0.05","0","0","0","0","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11700","0.25","0.75","0.25","0.55","0.55","0.55","46","403.66",".01","3375","-75","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11750","1","1","1","1","1","1","3","26.44","0","825","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11800","0.8","0.8","0.3","0.7","0.7","0.7","244","2159.51",".11","20775","2775","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11850","0.9","0.9","0.75","0.75","0.75","0.75","48","426.63",".03","1800","-2100","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10650","26.5","31.6","25.8","29.55","29.9","29.55","2420","19383.54","53.79","83400","8625","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10700","19.5","22.15","17.25","20.45","20.85","20.45","53357","429009.58","819.65","2427600","-77850","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10750","19.95","19.95","8.2","14.2","14.7","14.2","886","7152.64","9.27","47250","17700","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10800","8.55","10","8","9.1","9","9.1","18633","151055.63","128.33","1061850","107925","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10850","6","7.4","6","6.45","6.2","6.45","378","3077.83","1.86","22950","20700","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10900","4.9","5.15","3.85","4.3","4.2","4.3","10981","89805.54","35.87","426075","107475","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","10950","4.45","4.45","3.35","3.6","3.8","3.6","144","1183",".4","22725","-750","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11000","3.85","3.9","2.5","2.75","2.75","2.75","18665","154024.99","38.74","1662000","122625","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11050","5","5","5","5","5","5","1","8.29","0","75","75","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11100","1.9","2.15","1.8","1.9","1.95","1.9","1240","10324.75","1.75","28125","-7350","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11150","2.6","5","2.5","2.5","2.5","2.5","5","41.82",".01","225","225","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11200","1.65","1.65","1.35","1.5","1.5","1.5","593","4981.86",".66","57675","3300","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11250","0","0","0","14.5","14.5","1.05","0","0","0","0","0","10363.65"
"NIFTY","30-Oct-2017","30-Nov-2017","CE","11300","1.15","1.15","0.9","1.05","1","1.05","681","5771.99",".52","29850","0","10363.65"
